canonical,^P3.1|P3.0|P2.6,,^P2.4,,^P2.3,,^P2.2|P1.0,
form_type,1,1-F3 + 3 FORM TYPE,1,1-F3 + 3 FORM TYPE,1,F3 + 3 FORM TYPE,1,1-F3 + 3 FORM TYPE
filer_committee_id_number,2,2-2 FILER FEC COMMITTEE ID,2,2-2 FILER FEC COMMITTEE ID,2,2 FILER FEC COMMITTEE ID,2,2-2 FILER FEC COMMITTEE ID
committee_name,3,3-1 COMMITTEE NAME,3,3-1 COMMITTEE NAME,3,1 COMMITTEE NAME,3,3-1 COMMITTEE NAME
change_of_address,4,4-1 CHANGE OF ADDRESS,4,4-1 CHANGE OF ADDRESS,4,1 CHANGE OF ADDRESS,4,4-1 CHANGE OF ADDRESS
street_1,5,5-1 STREET 1,5,5-1 STREET 1,5,1 STREET 1,5,5-1 STREET 1
street_2,6,6-1 STREET 2,6,6-1 STREET 2,6,1 STREET 2,6,6-1 STREET 2
city,7,7-1 CITY,7,7-1 CITY,7,1 CITY,7,7-1 CITY
state,8,8-1 STATE,8,8-1 STATE,8,1 STATE,8,8-1 STATE
zip,9,9-1 ZIP,9,9-1 ZIP,9,1 ZIP,9,9-1 ZIP
election_state,10,10-1 ELECTION STATE,10,10-1 ELECTION STATE,10,1 ELECTION STATE,10,10-1 ELECTION STATE
election_district,11,11-1 ELECTION DISTRICT,11,11-1 ELECTION DISTRICT,11,1 ELECTION DISTRICT,11,11-1 ELECTION DISTRICT
report_code,12,12-4(a) => (c) REPORT CODE,12,12-4(a) => (c) REPORT CODE,12,4(a) => (c) REPORT CODE,12,12-4(a) => (c) REPORT CODE
date_of_election,13,13-4(b) or (c) DATE OF ELECTION,13,13-4(b) or (c) DATE OF ELECTION,13,4(b) or (c) DATE OF ELECTION,13,13-4(b) or (c) DATE OF ELECTION
state_of_election,14,14-4(b) or (c) STATE OF ELECTION,14,14-4(b) or (c) STATE OF ELECTION,14,4(b) or (c) STATE OF ELECTION,14,14-4(b) or (c) STATE OF ELECTION
coverage_from_date,15,15-5 COVERAGE FROM DATE,15,15-5 COVERAGE FROM DATE,15,5 COVERAGE FROM DATE,15,15-5 COVERAGE FROM DATE
coverage_through_date,16,16-5 COVERAGE THROUGH DATE,16,16-5 COVERAGE THROUGH DATE,16,5 COVERAGE THROUGH DATE,16,16-5 COVERAGE THROUGH DATE
treasurer_last_name,17,17-Botm pg 1 TREAS LAST NAME,17,17-Botm pg 1 TREAS LAST NAME,17,Botm pg 1 TREAS LAST NAME,17,17-Botm pg 1 TREAS LAST NAME
treasurer_first_name,18,18-Botm pg 1 TREAS FIRST NAME,18,18-Botm pg 1 TREAS FIRST NAME,18,Botm pg 1 TREAS FIRST NAME,18,18-Botm pg 1 TREAS FIRST NAME
treasurer_middle_name,19,19-Botm pg 1 TREAS MIDDLE NAME,19,19-Botm pg 1 TREAS MIDDLE NAME,19,Botm pg 1 TREAS MIDDLE NAME,19,19-Botm pg 1 TREAS MIDDLE NAME
treasurer_prefix,20,20-Botm pg 1 TREAS PREFIX,20,20-Botm pg 1 TREAS PREFIX,20,Botm pg 1 TREAS PREFIX,20,20-Botm pg 1 TREAS PREFIX
treasurer_suffix,21,21-Botm pg 1 TREAS SUFFIX,21,21-Botm pg 1 TREAS SUFFIX,21,Botm pg 1 TREAS SUFFIX,21,21-Botm pg 1 TREAS SUFFIX
date_signed,22,22-Botm pg 1 TREAS DATE,22,22-Botm pg 1 TREAS DATE,22,Botm pg 1 TREAS DATE,22,22-Botm pg 1 TREAS DATE
col_a_total_contributions_no_loans,23,23-6 (a) Total Contributions (NO Loans),23,23-6 (a) Total Contributions (NO Loans),23,6 (a) Total Contributions (NO Loans),23,23-6 (a) Total Contributions (NO Loans)
col_a_total_contributions_refunds,24,24-6 (b) Total Contribution Refunds,24,24-6 (b) Total Contribution Refunds,24,6 (b) Total Contribution Refunds,24,24-6 (b) Total Contribution Refunds
col_a_net_contributions,25,25-6 (c) NET Contributions,25,25-6 (c) NET Contributions,25,6 (c) NET Contributions,25,25-6 (c) NET Contributions
col_a_total_operating_expenditures,26,26-7 (a) Total Operating Expenditures,26,26-7 (a) Total Operating Expenditures,26,7 (a) Total Operating Expenditures,26,26-7 (a) Total Operating Expenditures
