canonical,^P3.1|P3.0|P2.6,,^P2.4,,^P2.3,,^P2.2|P1.0,
form_type,1,1-F24 FORM TYPE,1,1-F24 FORM TYPE,1,F24 FORM TYPE,1,1-F24 FORM TYPE
filer_committee_id_number,2,2-Top Right FILER FEC COMMITTEE ID,2,2-Top Right FILER FEC COMMITTEE ID,2,Top Right FILER FEC COMMITTEE ID,2,2-Top Right FILER FEC COMMITTEE ID
committee_name,3,3- COMMITTEE NAME,3,3- COMMITTEE NAME,3, COMMITTEE NAME,3,3- COMMITTEE NAME
report_type,4,4- REPORT TYPE,4,4- REPORT TYPE,4, REPORT TYPE,4,4- REPORT TYPE
original_amendment_date,5,5- ORIGINAL AMENDMENT DATE,,,,,,
treasurer_last_name,6,6-Botm pg 1 TREAS LAST NAME,5,5-Botm pg 1 TREAS LAST NAME,5,Botm pg 1 TREAS LAST NAME,5,5-Botm pg 1 TREAS LAST NAME
treasurer_first_name,7,7-Botm pg 1 TREAS FIRST NAME,6,6-Botm pg 1 TREAS FIRST NAME,6,Botm pg 1 TREAS FIRST NAME,6,6-Botm pg 1 TREAS FIRST NAME
treasurer_middle_name,8,8-Botm pg 1 TREAS MIDDLE NAME,7,7-Botm pg 1 TREAS MIDDLE NAME,7,Botm pg 1 TREAS MIDDLE NAME,7,7-Botm pg 1 TREAS MIDDLE NAME
treasurer_prefix,9,9-Botm pg 1 TREAS PREFIX,8,8-Botm pg 1 TREAS PREFIX,8,Botm pg 1 TREAS PREFIX,8,8-Botm pg 1 TREAS PREFIX
treasurer_suffix,10,10-Botm pg 1 TREAS SUFFIX,9,9-Botm pg 1 TREAS SUFFIX,9,Botm pg 1 TREAS SUFFIX,9,9-Botm pg 1 TREAS SUFFIX
date_signed,11,11-Botm pg 1 TREAS DATE,10,10-Botm pg 1 TREAS DATE,10,Botm pg 1 TREAS DATE,10,10-Botm pg 1 TREAS DATE
image_number_of_page,12,12-1st PageLeft Marg BEGINNING IMAGE NUMBER,11,11-1st PageLeft Marg BEGINNING IMAGE NUMBER,11,1st PageLeft Marg BEGINNING IMAGE NUMBER,11,11-1st PageLeft Marg BEGINNING IMAGE NUMBER
